barcode,name,price_paise,mrp_paise,hsn_code,category_name,image_url,is_returnable
8906010500214,Balaji Wafers Sev Murmura,37299,40301,1101,cereals,https://images.openfoodfacts.org/images/products/890/601/050/0214/front_en.8.400.jpg,false
8901499008169,Chocos (Kellogg's),22012,25297,1101,cereals,https://images.openfoodfacts.org/images/products/890/149/900/8169/front_en.16.400.jpg,false
8901491103794,"Oats (Pepsico, Quaker)",16263,17363,1101,cereals,https://images.openfoodfacts.org/images/products/890/149/110/3794/front_en.41.400.jpg,false
8901499010513,"Muesli Fruit, Nut & Seeds (Kellogg's)",26346,28072,1101,cereals,https://images.openfoodfacts.org/images/products/890/149/901/0513/front_en.12.400.jpg,false
8901088068734,Saffola Masala Oats - Classic Masala,32065,33998,1101,cereals,https://images.openfoodfacts.org/images/products/890/108/806/8734/front_en.19.400.jpg,false
8901063014299,Britannia Vita Marie Gold Biscuits (Britannia Industries Ltd.),19508,21051,1101,cereals,https://images.openfoodfacts.org/images/products/890/106/301/4299/front_en.35.400.jpg,false
8908003872315,Poha,21452,23739,1101,cereals,https://images.openfoodfacts.org/images/products/890/800/387/2315/front_en.4.400.jpg,false
8904043551548,Modern 100% Whole Wheat Bread,35443,40380,1101,cereals,https://images.openfoodfacts.org/images/products/890/404/355/1548/front_en.15.400.jpg,false
8904335604150,Yoga Bar Millet Muesli,38254,41038,1101,cereals,https://images.openfoodfacts.org/images/products/890/433/560/4150/front_en.17.400.jpg,false
8908005144632,Muesli dark chocolate cranberry (Yoga bar),34589,38678,1101,cereals,https://images.openfoodfacts.org/images/products/890/800/514/4632/front_en.4.400.jpg,false
8901088068741,Masala Oats - Peppy Tomato (Saffola),32108,36861,1101,cereals,https://images.openfoodfacts.org/images/products/890/108/806/8741/front_en.24.400.jpg,false
8901491103800,Oats (Quaker),34132,38274,1101,cereals,https://images.openfoodfacts.org/images/products/890/149/110/3800/front_en.4.400.jpg,false
8906136651968,High Protein Oats Chocolate (Pintola),21513,23843,1101,cereals,https://images.openfoodfacts.org/images/products/890/613/665/1968/front_en.13.400.jpg,false
8901499023339,"Muesli Fruit, Nut & Seeds (Kellogg's)",45982,51237,1101,cereals,https://images.openfoodfacts.org/images/products/890/149/902/3339/front_en.3.400.jpg,false
8904043552644,Modern Sandwich Supreme Bread,15835,16736,1101,cereals,https://images.openfoodfacts.org/images/products/890/404/355/2644/front_en.15.400.jpg,false
8901088068758,Saffola Masala Veggie Twist Oats,48934,51954,1101,cereals,https://images.openfoodfacts.org/images/products/890/108/806/8758/front_en.26.400.jpg,false
8906010501822,GIPPI (Balaji),26420,29930,1101,cereals,https://images.openfoodfacts.org/images/products/890/601/050/1822/front_en.7.400.jpg,false
8901491702188,Oats (Quaker),36547,40460,1101,cereals,https://images.openfoodfacts.org/images/products/890/149/170/2188/front_en.3.400.jpg,false
8901088213608,"Saffola Oats (Saffola, Marico)",42336,47941,1101,cereals,https://images.openfoodfacts.org/images/products/890/108/821/3608/front_en.3.400.jpg,false
